Station_name,Station_code,Height,Lat,Long,Date,Hour,Air Temp (C) ,P (hPa),RH (%),Wind Direction DegC,Wind Speed (m/s)
Sundsvalls Flygplats,127310,4,62.5246,17.441,2016-12-11,01:00:00,-8.2,1010.9,79,310,3
Harnosand,127380,17.655,62.6364,17.9214,2016-12-11,06:00:00,-7.9,nan,nan,nan,nan
Gavle A,107420,16.125,60.7161,17.1607,2016-12-11,01:00:00,-2.1,nan,98,109,1.8
Vastmarkum A,138070,141.392,63.1243,18.2518,2016-12-11,01:00:00,-15,1011.3,90,316,0.6
Stockholm Arlanda,97593,42,59.6269,17.9545,2016-12-11,01:00:00,-1.2,1008.5,96,100,3
Uppsala Flygplats,97530,21,59.8953,17.5935,2016-12-11,01:00:00,-1.4,1008.7,96,110,4
Film A,107140,33.381,60.2358,17.9043,2016-12-11,01:00:00,-2.1,1009.1,97,113,2.2
Umea Flygplats,140480,14,63.7947,20.2918,2016-12-11,01:00:00,-13.2,1011,83,310,3
Hudiksvall,117440,5,61.7167,17.086,2016-12-11,06:00:00,-1.7,nan,nan,nan,nan
