Station_name,Station_code,Height,Lat,Long,Date,Hour,Air Temp (C) ,P (hPa),RH (%),Wind Direction DegC,Wind Speed (m/s)
Sundsvalls Flygplats,127310,4,62.5246,17.441,2016-12-10,01:00:00,-4.1,1011.6,80,320,3
Harnosand,127380,17.655,62.6364,17.9214,2016-12-10,06:00:00,-6.4,nan,nan,nan,nan
Gavle A,107420,16.125,60.7161,17.1607,2016-12-10,01:00:00,0.1,nan,91,346,1.8
Vastmarkum A,138070,141.392,63.1243,18.2518,2016-12-10,01:00:00,-10.5,1011.6,95,359,0.6
Stockholm Arlanda,97569,42,59.6269,17.9545,2016-12-10,01:00:00,-0.5,1009.9,99,340,1
Uppsala Flygplats,97530,21,59.8953,17.5935,2016-12-10,01:00:00,0,1010.4,97,330,1
Film A,107140,33.381,60.2358,17.9043,2016-12-10,01:00:00,0.7,1010.5,91,19,1.4
Umea Flygplats,140480,14,63.7947,20.2918,2016-12-10,01:00:00,-7.7,1010.5,72,320,4
Hudiksvall,117440,5,61.7167,17.086,2016-12-10,06:00:00,-2.5,nan,nan,nan,nan
