Station_name,Station_code,Height,Lat,Long,Date,Hour,Air Temp (C) ,P (hPa),RH (%),Wind Direction DegC,Wind Speed (m/s)
Sundsvalls Flygplats,127310,4,62.5246,17.441,2016-12-09,01:00:00,-1.6,1000.5,99,360,1
Harnosand,127380,17.655,62.6364,17.9214,2016-12-09,06:00:00,0.5,nan,nan,nan,nan
Gavle A,107420,16.125,60.7161,17.1607,2016-12-09,01:00:00,6,nan,79,248,2.5
Vastmarkum A,138070,141.392,63.1243,18.2518,2016-12-09,01:00:00,2.9,998.9,89,296,2.7
Stockholm Arlanda,97545,42,59.6269,17.9545,2016-12-09,01:00:00,5,1004.7,86,260,3
Uppsala Flygplats,97530,21,59.8953,17.5935,2016-12-09,01:00:00,5.3,1004.6,84,280,3
Film A,107140,33.381,60.2358,17.9043,2016-12-09,01:00:00,4.3,1003.8,89,250,0.9
Umea Flygplats,140480,14,63.7947,20.2918,2016-12-09,01:00:00,1.4,996.9,83,280,3
Hudiksvall,117440,5,61.7167,17.086,2016-12-09,06:00:00,4.4,nan,nan,nan,nan
