Station_name,Station_code,Height,Lat,Long,Date,Hour,Air Temp (C) ,P (hPa),RH (%),Wind Direction DegC,Wind Speed (m/s)
Sundsvalls Flygplats,127310,4,62.5246,17.441,2016-12-08,01:00:00,-1.9,999,90,260,1
Harnosand,127380,17.655,62.6364,17.9214,2016-12-08,06:00:00,-1.1,nan,nan,nan,nan
Gavle A,107420,16.125,60.7161,17.1607,2016-12-08,01:00:00,3.4,nan,94,218,0.9
Vastmarkum A,138070,141.392,63.1243,18.2518,2016-12-08,01:00:00,-1.7,998.7,99,287,0.8
Stockholm Arlanda,97521,42,59.6269,17.9545,2016-12-08,01:00:00,3.9,1002.3,99,230,3
Uppsala Flygplats,97530,21,59.8953,17.5935,2016-12-08,01:00:00,3.6,1001.6,98,220,2
Film A,107140,33.381,60.2358,17.9043,2016-12-08,01:00:00,3.2,1001,99,213,1.5
Umea Flygplats,140480,14,63.7947,20.2918,2016-12-08,01:00:00,-1.8,998.1,100,0,0
Hudiksvall,117440,5,61.7167,17.086,2016-12-08,06:00:00,0.6,nan,nan,nan,nan
