Station_name,Station_code,Height,Lat,Long,Date,Hour,Air Temp (C) ,P (hPa),RH (%),Wind Direction DegC,Wind Speed (m/s)
Sundsvalls Flygplats,127310,4,62.5246,17.441,2016-12-12,01:00:00,-12.1,1020.1,82,280,3
Harnosand,127380,17.655,62.6364,17.9214,2016-12-12,06:00:00,-9.3,nan,nan,nan,nan
Gavle A,107420,16.125,60.7161,17.1607,2016-12-12,01:00:00,-11,nan,96,252,0.6
Vastmarkum A,138070,141.392,63.1243,18.2518,2016-12-12,01:00:00,-10.1,1018.3,75,260,1.5
Stockholm Arlanda,97617,42,59.6269,17.9545,2016-12-12,01:00:00,-7.4,1020.1,95,340,2
Uppsala Flygplats,97530,21,59.8953,17.5935,2016-12-12,01:00:00,-10.3,1020.7,92,310,2
Film A,107140,33.381,60.2358,17.9043,2016-12-12,01:00:00,-5.2,1020.2,97,331,1
Umea Flygplats,140480,14,63.7947,20.2918,2016-12-12,01:00:00,-11.3,1015.3,70,290,3
Hudiksvall,117440,5,61.7167,17.086,2016-12-12,06:00:00,-6.6,nan,nan,nan,nan
