Station_name,Station_code,Height,Lat,Long,Date,Hour,Air Temp (C) ,P (hPa),RH (%),Wind Direction DegC,Wind Speed (m/s)
Sundsvalls Flygplats,127310,4,62.5246,17.441,2016-12-07,01:00:00,-4.6,1019,95,340,1
Harnosand,127380,17.655,62.6364,17.9214,2016-12-07,06:00:00,0.2,nan,nan,nan,nan
Gavle A,107420,16.125,60.7161,17.1607,2016-12-07,01:00:00,-2.8,nan,80,211,3.9
Vastmarkum A,138070,141.392,63.1243,18.2518,2016-12-07,01:00:00,-0.3,1016.6,79,358,1.1
Stockholm Arlanda,97497,42,59.6269,17.9545,2016-12-07,01:00:00,-3.4,1026.6,91,210,2
Uppsala Flygplats,97530,21,59.8953,17.5935,2016-12-07,01:00:00,-3.4,1026.1,92,230,6
Film A,107140,33.381,60.2358,17.9043,2016-12-07,01:00:00,-4.7,1024.9,90,210,2.2
Umea Flygplats,140480,14,63.7947,20.2918,2016-12-07,01:00:00,0.9,1013,84,230,2
Hudiksvall,117440,5,61.7167,17.086,2016-12-07,06:00:00,-2.1,nan,nan,nan,nan
